geoid,name,land_area,total,airport,cement,cmv,commercial,elec_prod,industrial,nonroad,onroad,rail,residential
08191,"Blakely, GA",7958937,2716,0,0,0,90,0,863,72,1653,7,29
08209,"Blanchard, OK",8487871,6075,0,0,0,145,0,98,68,5508,0,254
08218,"Blanchester, OH",7540751,4847,0,0,0,238,0,1011,214,3016,11,354
08245,"Blanding, UT",4310278,1656,14,0,0,540,0,19,33,870,0,177
08272,"Blissfield, MI",4769976,4500,0,0,0,266,0,482,327,2580,48,794
08299,"Bloomer, WI",5090583,3842,13,0,0,142,0,135,187,2980,42,341
08326,"Bloomfield, IN",3171931,3965,0,0,0,365,0,24,79,3078,35,382
08353,"Bloomfield, NM",19594443,12315,0,0,0,787,0,946,386,8885,0,1309
08380,"Bloomington, IN",116015737,179454,12,0,0,32070,0,6894,14021,100317,273,25865
08407,"Bloomington--Normal, IL",126867906,309488,5160,0,0,43117,8,22479,20215,163054,471,54980
08434,"Bloomsburg--Berwick, PA",84655317,134420,1323,0,0,12968,10,47311,5069,51397,144,16195
08461,"Blountstown, FL",10241938,5421,0,0,0,202,0,46,108,4944,0,119
08488,"Blue Earth, MN",4518427,6510,7,0,0,356,49,3070,144,2425,11,445
08515,"Bluefield, WV--VA",110141326,69516,42,0,0,8726,0,6819,1952,43142,2781,6050
08542,"Bluffton, IN",17186481,19118,12,0,0,2479,0,1794,1148,10357,911,2415
08569,"Bluffton, OH",5638868,4710,0,0,0,408,0,218,170,3477,9,425
08623,"Blythe, CA--AZ",16000976,14605,15,0,0,1698,37,63,713,10763,2,1310
08650,"Blytheville, AR",23658684,35571,16,0,0,8270,0,0,1134,22100,297,3751
08677,"Boardman, OR",7455024,563166,0,0,0,69,559756,275,87,2873,0,103
08704,"Boerne, TX",17881821,24219,0,0,0,1791,0,423,948,20545,0,511
08731,"Bogalusa, LA",21468863,42710,0,0,0,837,15930,15353,500,8920,14,1155
08749,"Boiling Spring Lakes, NC",9035903,2200,0,0,0,36,0,94,245,1788,0,35
08758,"Boiling Springs, NC",9505846,2772,0,0,0,152,0,40,242,2113,0,224
08785,"Boise City, ID",345736766,875770,27695,0,0,93596,0,102199,71099,466403,376,114399
08812,"Bolivar, MO",13916304,23563,0,0,0,1044,0,225,397,21470,0,427
08839,"Bolivar, OH",9363646,6187,0,0,0,228,0,170,113,4975,9,690
08866,"Bolivar, TN",12804200,9652,0,0,0,319,0,936,359,7569,0,466
08893,"Bonadelle Ranchos-Madera Ranchos, CA",23052413,4316,0,0,0,170,0,157,205,3186,0,596
08920,"Bonham, TX",13488424,9162,0,0,0,794,0,420,739,6404,11,791
08947,"Bonifay, FL",9223882,10130,13,0,0,190,0,129,230,9340,148,78
08974,"Bonita Springs, FL",483371914,585954,11662,0,427,28036,0,7039,76822,459707,234,2022
08992,"Bonneauville, PA",8233494,6184,0,0,0,146,0,17,217,5260,0,542
09001,"Bonners Ferry, ID",5303491,2931,0,0,0,72,0,63,69,2216,469,41
09028,"Boone, IA",24011244,21823,20,0,0,2842,0,1281,1092,8456,1780,6349
09055,"Boone, NC",34881087,36903,0,0,0,7236,0,2762,3128,22724,0,1050
09082,"Booneville, AR",5021048,2503,0,0,0,502,0,0,73,1693,0,234
09109,"Booneville, MS",14569477,15052,0,0,0,834,0,0,993,12351,17,854
09163,"Boonville, IN",6688113,11518,0,0,0,1232,0,192,578,7830,20,1664
09190,"Boonville, MO",14769944,30703,0,0,13,811,0,618,493,27461,297,1006
09217,"Borger, TX",32536338,533527,0,0,0,1595,311281,203530,2121,11899,20,3080
09244,"Boscobel, WI",3952936,2374,13,0,0,125,0,2,77,1916,26,213
09271,"Boston, MA--NH--RI",4853336622,10742064,160625,0,191769,1477086,1721110,1273123,522931,3266519,22751,2106146
09298,"Boulder, CO",84040852,521296,6763,0,0,18666,6749,324011,17070,97142,307,50584
09325,"Boulder City, NV",15753322,42566,21700,0,0,2031,0,1172,4156,11239,0,2265
09352,"Bowie, TX",10479753,6440,0,0,0,582,0,297,379,3717,724,739
09379,"Bowling Green, KY",117432139,191554,29,0,0,13780,4,43785,11481,108868,1176,12428
09406,"Bowling Green, MO",5971106,5838,224,0,0,208,0,89,135,4813,8,358
09433,"Bowling Green, OH",31835963,50292,0,0,0,6453,14,1940,3392,28785,133,9573
09460,"Box Elder, SD",20959101,10699,0,0,0,1059,0,8,333,8175,15,1108
09487,"Boyne City, MI",7134810,4364,0,0,0,311,0,494,295,2634,0,627
09514,"Bozeman, MT",50455198,62439,14,0,0,16896,0,5015,3724,25961,137,10688
09532,"Brackettville, TX",7114039,839,0,0,0,4,0,0,20,810,0,4
09541,"Bradford, PA--NY",13732430,49426,12,0,0,2016,0,31909,846,9655,40,4944
09568,"Brady, TX",7414605,8423,0,0,0,370,0,835,917,5864,0,437
09600,"Braidwood--Coal City--Wilmington, IL",38844362,32688,0,0,0,2068,156,2977,3526,14075,1904,7980
09622,"Brainerd, MN",45903044,65923,2985,0,0,6275,0,19706,2130,30090,650,4083
09649,"Brandon, SD",8612020,6140,0,0,0,387,0,468,752,3709,42,779
09676,"Branson, MO",74489368,43503,1515,0,0,7811,0,451,1744,30588,44,1347
09703,"Brattleboro, VT--NH",12279833,26847,0,0,0,3424,0,5230,1127,14405,79,2581
09730,"Brawley, CA",20529224,65320,920,0,0,3395,0,13063,1333,45331,50,1226
09784,"Brazoria, TX",7931067,4590,0,0,0,72,0,88,148,3907,38,335
09801,"Breaux Bridge, LA",58904712,30192,44,0,0,781,0,5727,869,22147,10,611
09811,"Breckenridge, CO",16803932,8984,12,0,0,176,0,264,487,7581,0,463
09838,"Breckenridge, TX",9717388,6237,0,0,0,352,0,630,280,4511,0,461
09865,"Breese, IL",11870141,8469,14,0,0,1558,84,511,407,4119,340,1433
09892,"Bremen, GA",17668388,8616,0,0,0,176,0,164,166,7478,271,357
09919,"Bremen, IN",6228028,11357,12,0,0,744,0,1654,802,4725,1890,1526
09946,"Bremerton, WA",353526650,298587,3632,0,1158,37753,0,0,21857,202744,60,31380
09973,"Brenham, TX",21527549,32639,0,0,0,2873,0,4156,1434,21729,614,1830
10000,"Brent, AL",12493764,4816,0,0,0,62,0,205,80,4324,0,143
10027,"Brevard, NC",31376920,21584,0,0,0,1392,0,778,1116,17301,0,995
10081,"Brewton, AL",15307256,12955,18,0,0,320,0,2241,233,9877,73,191
10135,"Bridgeport, TX",8774933,5155,0,0,0,237,0,107,387,4140,143,139
10162,"Bridgeport--Stamford, CT--NY",1207893404,3003874,71175,0,35487,318222,986607,56543,130506,892608,5887,506836
10189,"Bridgeton, NJ",46099979,27619,11,0,0,5261,0,617,2064,9893,45,9724
10198,"Bridgeville, DE",8175341,6480,0,0,0,573,0,1859,286,3551,1,208
10297,"Brillion, WI",4075194,2871,0,0,0,200,0,807,130,1158,0,576
10324,"Brinkley, AR",5314100,6933,0,0,0,324,0,0,97,6080,222,207
10351,"Bristol--Bristol, TN--VA",165266257,199692,61,0,0,10267,1142,28737,9215,141589,1041,7636
10378,"Bristow, OK",4773082,8208,14,0,0,518,0,3267,190,3593,6,617
10405,"Broadway, VA",9351478,3557,0,0,0,109,0,388,147,2709,26,175
10418,"Brockport, NY",30748573,24281,0,0,0,3945,0,44,1512,12796,42,5939
10426,"Brockway, PA",6218156,3832,0,0,0,326,0,59,153,2120,13,1159
10459,"Brodhead, WI",4598576,3622,0,0,0,194,0,125,129,2756,18,398
10513,"Broken Bow, NE",4932381,4246,0,0,0,260,27,11,104,2523,1022,295
10540,"Broken Bow, OK",8875104,8835,0,0,0,534,0,1343,356,6296,16,288
10567,"Brookfield, MO",7607997,6399,12,0,0,316,0,368,403,4058,95,1142
10594,"Brookhaven, MS",22858479,20858,0,0,0,2822,0,0,842,15987,113,1092
10621,"Brookings, OR",18082426,5687,0,0,119,746,0,1669,550,2442,0,158
10648,"Brookings, SD",24567298,26702,19,0,0,8538,0,3098,1448,9557,29,4011
10675,"Brooklyn, MI",7677056,3393,0,0,0,158,0,9,214,2474,0,537
10702,"Brookshire, TX",6671730,5196,0,0,0,7,0,311,102,4729,4,40
10810,"Brookville, PA",9738689,14678,12,0,0,1031,0,880,550,9892,14,2296
10837,"Brownfield, TX",11681992,9019,48,0,0,626,0,172,470,6670,38,991
10864,"Browning, MT",4860599,2272,0,0,0,163,0,0,20,1613,17,457
10891,"Browns Mills--Fort Dix, NJ",74394496,51989,216,0,0,16049,38,572,3131,20308,0,11672
10918,"Brownstown, IN",3993299,4187,0,0,0,330,0,22,116,3381,17,318
10945,"Brownsville, TN",14750160,12969,0,0,0,497,0,1822,503,8255,132,1758
10972,"Brownsville, TX",211434572,229859,9430,0,202,23425,6983,18798,14539,148595,154,7729
10999,"Brownwood, TX",44015263,58536,0,0,0,8381,0,13175,8011,25959,401,2607
