country,1750,1751,1752,1753,1754,1755,1756,1757,1758,1759,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,84.3,84.3,88,110,169,191,183,183,5610,6480,6290,6200,5960,6780,5850,13.9k,18k,15.7k,13.7k,12.2k,14.2k,13k,14.3k,14.6k,15.2k,15.7k,16k,17.3k,18.7k,19.6k,20.8k,22.4k,22.9k,27.1k,27.2k,29.4k,30.6k,31.7k,31.3k,32.7k,34.4k,30.7k,32.5k,32.4k,33.4k,33.8k,35.4k,35.5k,32.8k,28.9k,21k,19.8k,21.3k,25.6k,26.9k,24.5k,24.4k,25.2k,26k,25.4k,26k,25.4k,24.9k,25.9k,26.3k,25.8k,27.8k,28k,33.9k,29.2k,29.5k,27.8k,27.4k,29.1k,28.1k,28.1k,28.6k
Christmas Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.7,84.3,84.3,69.7,125,136,125,91.7,91.7,99,99,103,73.3,80.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.67,3.67,7.33,7.33,11,11,11,11,11,11,18.3,14.7,22,44,36.7,44,55,58.7,55,55,66,69.7,91.7,91.7,161,154,161,169,183,191,202,216,224,257,249,271,312,330,363,363,385,407,429,429,466,469,488,495,462,473,484,572,583,557,557,587,535,535,543,,,,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268,282,315,367,444,451,675,818,766,832,887,865,905,986,1000,1150,1240,1360,1620,1670,1700,1890,2410,2510,1930,1990,2490,2700,2850,3050,3260,3100,3160,3150,3240,3150,3610,4190,4200,4430,4660,5150,5520,5770,6010,5880,6240,6320,6620,6880,7130,7010,7200,7590,7820,8010,8200,8520,8680,8430,8070,7760,7220,6540,6930,6950,7360,7530,7500
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203,667,1130,1600,2070,2530,3000,3460,3930,4400,4870,5330,5800,6260,6730,7200,12.4k,13.1k,13.7k,14.7k,15.6k,16.5k,16.8k,18k,18.6k,19.5k,20.5k,21.5k,23.1k,24.5k,26.1k,27.1k,27.5k,28.1k,28.8k,29.9k,30.7k,32.5k,33.2k,34k,33.8k,35.3k,35.8k,36.5k,36.8k,37.9k,39.6k,41.6k,42.4k,42.1k,41.7k,42.2k,44.9k,47k,42.8k,42.7k,45.5k,42.7k,36.4k,34.4k,34.1k,32.8k,29.3k,30.9k,38k,35.7k,36.2k,38.9k,40.9k,45.8k,40.4k,37.8k,32.9k,30.1k,30.1k,31k,33.6k,40.7k,46.7k,51.3k,57.8k,58.2k,62.8k,69.3k,66.1k,35.1k,43.6k,49.5k,53.5k,56.3k,57.9k,61.7k,66k,68.4k,73.1k,75.8k,81.4k,85k,92.9k,92.9k,99.1k,108k,115k,121k,126k,122k,122k,121k,127k,135k,155k,162k,164k,164k,166k,174k,181k,186k,188k,183k,185k,183k,181k,181k,187k,185k,186k,184k,181k,172k,164k,149k,145k,139k,132k,132k,135k,131k,125k,117k,127k,127k,124k,127k,128k,126k,127k,128k,123k,115k,118k,115k,111k,106k,104k,105k,107k,106k,106k
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469,480,444,447,535,550,576,627,796,535,554,535,1010,1040,939,2690,898,931,979,928,913,891,884,1030,2390,3380,3530,3280,3380,3530,3630,4040,3230,4340,4190,4540,4540,3630,4800,4590,3450,4380,4420,4940,5200,5960,6640,7030,9180,9560,10.9k,10.3k,10.9k,12.6k,13.2k,13.9k,12.8k,13.6k,15.2k,16.9k,19.2k,20.8k,24.4k,28.6k,30.9k,33k,35.6k,33.8k,36.4k,41.4k,45.6k,49.4k,56.7k,63.5k,63k,69.2k,74.4k,77.7k,76.7k,85.4k,92.2k,98.4k,71.7k,102k,104k,101k,105k,111k,125k,134k,144k,153k,158k,161k,163k,171k,186k,199k,208k,221k,215k,221k,230k,238k,256k,274k,286k,304k,327k,326k,319k,344k,356k,383k,362k,443k,447k,446k,446k,459k,500k,536k,498k,463k,501k,525k,504k,388k,430k,474k,456k,332k,452k,458k,414k,481k,505k,539k,462k,386k,348k,365k,409k,453k,500k,564k,602k,649k,655k,661k,668k,680k,601k,116k,272k,318k,378k,433k,511k,577k,612k,624k,660k,724k,767k,779k,757k,756k,815k,836k,884k,946k,970k,961k,952k,937k,986k,1.05M,1.03M,1.04M,1.04M,1.09M,1.06M,1M,1.09M,1.05M,1.08M,1.12M,1.1M,1.05M,1.02M,1.01M,1.03M,1.04M,1.05M,1.03M,1.03M,1.01M,1.05M,1.02M,967k,957k,941k,940k,960k,933k,925k,897k,901k,918k,901k,902k,888k,867k,879k,852k,854k,790k,833k,810k,815k,832k,793k,797k,802k,799k,760k
East Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.67,95.5k,92.2k,101k,117k,164k,179k,190k,210k,221k,238k,244k,252k,257k,259k,271k,285k,298k,307k,316k,310k,312k,304k,308k,322k,280k,285k,282k,287k,287k,289k,296k,304k,307k,312k,316k,317k,318k,316k,326k,342k,345k,345k,338k,334k,310k,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114k,175k,226k,278k,315k,348k,398k,422k,414k,440k,486k,523k,527k,500k,498k,544k,551k,586k,640k,654k,651k,640k,634k,678k,731k,747k,754k,761k,801k,778k,716k,797k,751k,775k,809k,787k,734k,701k,699k,711k,706k,706k,691k,695k,683k,704k,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,25.7,25.7,29.3,33,36.7,29.3,44,47.7,36.7,40.3,44,47.7,66,84.3,121,139,88,121,84.3,139,161,191,180,194,198,198,198,202,363,348,301,348,348,352,359,378,389,348,389,323,337,337,337,330,330,334,348,341,341,367,367,400,422,407,414,411,462,499,458,517,473,480,556,594,607,600,629,645
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.67,7.33,3.67,3.67,3.67,3.67,3.67,7.33,11,11,11,11,14.7,14.7,14.7,14.7,22,22,18.3,25.7,25.7,25.7,25.7,29.3,29.3,29.3,25.7,25.7,33,36.7,36.7,40.3,40.3,44,47.7,47.7,47.7,55,58.7,58.7,58.7,58.7,62.3,66,80.7,73.3,80.7,77,80.7,103,110,103,117,143,143,143,183,165,161,172,154,165,169,176,176,180,181,183
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,158,209,227,172,312,271,341,312,334,359,458,455,649,664,491,627,543,785,678,755,649,1020,939,917,1090,946,1140,1190,1140,1150,1240,1460,1540,1530,1450,1640,1860,1970,2120,2430,2420,2540,2430,2490,2810,3000,2870,3090,3170,3000,3400,3530,4320,4630,4810,5250,5150,5360,5510,5730,6180,6010,6550,5840,7240,8010,7360,7840,9290,9530,9770,10.5k,10.2k,7440,8680,8240,7200,6800,9660,10.5k,12.4k,10.7k,10.5k,13.3k,12.6k,15.1k,13.8k,14.3k,13.4k,13.4k,14.7k,15.3k,15.8k,16.3k,14.6k,16.3k,14.8k,17.4k,16.5k,20.6k,20.3k,14.1k,17.7k,21.5k,17.1k,16.9k,22k,21.9k,22.9k,23.2k,25.6k,27.1k,26.4k,24.9k,26.8k,26.1k,29.8k,31.7k,36.9k,40.7k,43.2k,44.3k,50.1k,49.1k,53.3k,59.4k,62.1k,57.1k,59.6k,59.3k,55.1k,55.8k,60.2k,61.9k,61.1k,63k,60.4k,51.8k,53.7k,50.2k,50.9k,60.1k,59k,58.4k,55.2k,48.8k,53.6k,64.2k,58.4k,60.7k,64.7k,61.6k,74.9k,65.5k,61.3k,58.7k,54.3k,55.9k,55.6k,60.7k,55.1k,51.5k,59.5k,54.7k,51.3k,48.9k,49.2k,44.2k,39.9k,41.8k,37.6k,35.2k,37k,34.8k,34.8k
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.33,22,25.7,348,359,594,620,627,917,986,1030,1070,1110,1040,1030,1240,1250,1750,1550,1670,1570,2350,2650,3110,3520,4670,5960,6410,6340,6330,5600,5430,6790,6430,6140,6310,7870,7400,7250,8130,9700,9750,10.3k,9160,9960,10.8k,11.7k,12.4k,15.8k,17.2k,17.9k,18.3k,18.4k,19.6k,19.6k,21.1k,21.3k,18.1k,18.4k,19.4k,20.8k,20.3k,19.8k,20.6k,21.3k,21.5k,21k,21.6k,23.6k,24.7k,24.4k,24.9k
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,3.67,7.33,18.3,18.3,22,25.7,25.7,14.7,29.3,33,40.3,58.7,73.3,80.7,84.3,99,114,121,139,132,51.3,69.7,33,161,238,312,499,469,499,616,763,744,803,909,3790,4140,3890,4000,4160,4610,5000,5540,5220,5660,6160,6060,5670,5420,5650,6590,8430,8440,9060,11.3k,15.1k,18.7k,28.3k,38.3k,31.9k,32k,39.2k,41.9k,62.5k,45.6k,66.5k,46.4k,39.2k,52.5k,71k,72.7k,76.1k,84k,83.8k,79.9k,76.8k,78.9k,79.9k,82k,86.2k,95.1k,96.9k,87.1k,107k,91.7k,87.5k,83.8k,89.5k,91.1k,87.9k,107k,100k,108k,109k,120k,118k,120k,128k,133k,143k,151k,148k,147k,156k
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.7,25.7,25.7,25.7,25.7,25.7,36.7,44,69.7,91.7,235,473,601,678,766,711,726,733,785,876,975,1030,1070,1090,730,1050,1060,1330,1230,1100,1160,1290,1300,741,704,895,821,964,1200,1300,1130,1320,1290,1760,1650,1560,1800,2140,2280,2420,2590,3120,3590,4280,4220,4590,5260,6090,7360,8110,7480,10.4k,12.2k,13.4k,16.7k,19.3k,19.5k,21.2k,19.4k,15.2k,15k,17.2k,20.2k,16.7k,16.4k,22.2k,24.1k,13.5k,22.7k,24k,18.2k,22.3k,21.4k,20.6k,23k,24.8k,26.8k,28.8k,30k,28.5k,31.6k,33.4k,35.5k,35.9k,35.9k,31.9k,40.7k,45.5k,42.7k,40.6k,39.6k,41.9k
Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,84.3,40.3,308,91.7,180,422,865,689,455,561,532,469,499,554,532,568,869,924,1020,1010,953,873,825,748,730,689,880,2230,3030,3960,3840,4110,4360,4360,4230,4420,6160,7470,10.2k,10.6k,10.9k,10.8k,11.7k,10.7k,9960,11.9k,13.7k,12.7k,16k,17.1k,18.6k,21.5k,25.5k,27.6k,26.6k,19.7k,22.9k,19.7k,21.7k,23k,25.5k,23.8k,26.1k,31.1k,34.5k,37.8k,39.3k,42.9k,45.2k,50.9k,56.5k,57k,63.8k,63.9k,74.5k,74.7k,74.4k,72k,75.3k,77.4k,80k,92.4k,84.6k,95k,93.6k,108k,122k,125k,140k,124k,126k,147k,149k,165k,176k,186k,195k,203k,199k,214k,215k,210k,223k,219k,233k,237k,239k
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.7,7.33,3.67,11,14.7,18.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,707,791,861,768,586,616,605,627,601,711,766,762,545,560,402,497,497,561,619,628,680,671,689,722,741
Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.67,3.67,3.67,3.67,3.67,3.67,22,36.7,25.7,47.7,36.7,103,143,172,202,275,282,260,293,326,495,510,535,653,550,554,755,851,1150,1630,1930,2010,2190,2430,2340,2310,2290,2560,2660,2640,3080,2940,3260,3140,3120,3290,3570,3780,3760,3980,4420,4940,5390,5910,5870,5760,6100,6150,6440,6830,7350,7950,8310,8130,8740,8610,9310,9550,9380,10.6k,11.2k,11.8k,12.3k,12.2k,13k,13.6k,13.9k,14.1k,14.8k,15.2k,14.9k,14.7k,16k,17.4k,17.3k,15.3k,17.9k,15.9k,16.7k,15.9k,14.1k,14.9k,15k,17.2k,18.4k,19.1k,18.4k,21.5k,21.5k,24k,23.7k,22.6k,21.2k,18.7k,20.3k,22.5k,8060,5250,13.2k,15.7k,21.6k,21.5k,23.1k,23.9k,25.8k,28.3k,28.1k,31.2k,32.7k,35.8k,33.1k,33.2k,37.6k,39k,39.8k,40.3k,42.4k,50.3k,55.9k,52.1k,48.9k,53.7k,60k,58.8k,64.4k,71.1k,77.7k,86.5k,97.1k,96.8k,117k,129k,145k,155k,173k,181k,198k,195k,200k,203k,214k,206k,209k,204k,198k,200k,189k,190k,198k,225k,231k,241k,250k,241k,254k,267k,255k,267k,276k,299k,311k,313k,333k,337k,354k,368k,360k,368k,336k,297k,283k,284k,279k,252k,255k,271k,261k,275k,268k
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,29.3,22,22,14.7,14.7,14.7,18.3,25.7,33,40.3,36.7,,,,,,,,,,,,,,,,,,,,10.1k,10.5k,10.8k,11.4k,12.2k,13k,13.7k,14.5k,15.2k,15.6k,16.3k,17.1k,18.2k,19.1k,20k,20.7k,21.8k,22.7k,23.4k,24.2k,24.4k,25.4k,24.9k,25.4k,25.8k,26k,28k,28.1k,27.9k,28.7k,28.1k,37.1k,34.1k,24.5k,19.1k,19.9k,18.2k,18.9k,18.5k,16.9k,15.7k,15.4k,15.7k,15.2k,17.1k,17.3k,17.1k,16.4k,20.1k,17.9k,14.6k,19k,19.1k,18k,19.7k,18.9k,15.9k,17.5k,18.7k,19.6k
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,,,,,3.67,3.67,88,62.3,99,183,271,227,242,323,319,337,352,341,396,422,407,645,825,1070,1730,1670,1650,1850,1410,1750,1740,1210,1180,1050,1370,1850,1820,1860,1480,1840,1650,1800,2200,2560,2640,2800,2990,2960,2940,3000,2200,2510,2800,2980,3150,3100,3470,4270,4430,4880,5160,4960,5320,5840,6420,6480,6340,6890,8110,9920,11.8k,12.9k,13.9k,14.6k,14.9k
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.7,73.3,73.3,77,47.7,62.3,69.7,62.3,88,69.7,91.7,114,91.7,88,125,84.3,95.3,114,128,77,99,99,121,117,143,220,128,128,121,161,209,220,194,194,220,235,297,517,488,737,601,422,400,513,528,587,616,887,1410,1280,1060,1320,1490,1660,689,106,180,121,73.3,238,275,282,711,1480,1750,1710,1600,2850,3130,3360,2650,3010,3030,3230,3960,3520,4970,6790,5700,4880,2320,3250,2810,3950,2730,642,3290,5460,8470,4940,6550,7990,8670,7580,9160,10.9k,12.2k,12.3k,10.6k,13.6k,15.1k,14.9k,16.8k,19.4k,22.8k,25.3k,29.5k,28.6k,33.3k,37.9k,40.4k,40.6k,44.1k,49.4k,46.6k,46.1k,51.2k,50.2k,51.9k,54.3k,58.2k,51.4k,43k,41.5k,42.2k,49.6k,53.3k,57.6k,52.1k,52.5k,57k,55.3k,54.3k,56.4k,61.8k,58.2k,64.1k,62.8k,59.4k,58.9k,57.1k,62.6k,65.1k,72.7k,69k,57.1k,68.4k,66.8k,58.7k,56k,64.1k,56.6k,51.3k,51.8k,47.7k,44.2k,47.3k,44.7k,47k
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,132,158,169,158,172,194,165,176,198,194,169,231,242,425,345,323,356,396,432,520,550,579,630,671,623,483,765,710,837,793,1080,836,710,578,573,599,472,550,626,807,664,741,744,739,755,814,783,762,776,834,1050,880,1040,1340,1080,1200,1140,878,779,1200,1070,1040,1320,1620,2130,2020,2070,2130
Falkland Is (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275,356,253,103,293,301,312,312,367,103,194,154,47.7,47.7,11,11,11,18.3,,,11,11,11,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,25.7,22,22,25.7,29.3,33,36.7,40.3,40.3,40.3,40.3,40.3,40.3,40.3,44,44,47.7,36.7,36.7,36.7,44,44,47.7,51.3,51.3,58.7,58.7,58.7,58.7,55,55,55,55,55,,,,
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2240,,2180,,,,,,2120,2050,2220,2050,2090,2340,2500,2660,2380,2560,2900,3010,3170,3170,3520,3960,4090,5910,6250,6080,6560,6060,6680,7250,8930,9270,10.6k,11.4k,11.9k,11.6k,11.8k,13.8k,14.5k,14.6k,15.3k,17.9k,18.5k,20.9k,16.7k,17.4k,19.6k,20.1k,21.6k,25.4k,29.2k,33.1k,34.7k,35.3k,34.6k,35k,38.2k,41.3k,43.6k,44.2k,46.9k,49.3k,53.6k,54.3k,55.6k,57k,50.6k,50.3k,61k,65.9k,62.7k,65.3k,65.4k,64k,65.3k,67.6k,76.2k,78k,82.4k,86.4k,83k,79.8k,79.1k,83.4k,86.7k,88.9k,97.9k,98.1k,98.2k,96.4k,102k,103k,106k,111k,115k,120k,129k,125k,118k,129k,126k,128k,137k,146k,147k,150k,151k,157k,159k,171k,118k,103k,110k,122k,109k,116k,152k,138k,163k,184k,207k,214k,214k,213k,212k,234k,238k,218k,192k,200k,202k,196k,198k,218k,202k,195k,138k,120k,123k,125k,80.1k,107k,165k,184k,197k,229k,202k,229k,227k,215k,227k,239k,269k,278k,266k,263k,272k,282k,299k,335k,346k,352k,348k,373k,385k,414k,440k,464k,482k,518k,500k,448k,507k,482k,507k,531k,506k,456k,438k,424k,408k,403k,388k,380k,375k,393k,401k,427k,416k,396k,391k,398k,413k,406k,426k,422k,416k,421k,416k,423k,424k,427k,416k,406k,400k,382k,390k,366k,366k,367k,336k,341k,343k,347k,338k
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.3,40.3,55,84.3,77,99,114,95.3,117,99,58.7,114,117,125,121,136,139,169,183,213,257,260,235,253,301,348,330,407,400,480,422,440,458,488,499,517,491,499,528,579,704,656,649,583,576,572,601,590,623,631,689,763,726,733,748,722,678,689,631,576,631,568,590,678,598,609,631,649,633
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,99,103,106,106,110,117,110,125,169,143,143,143,121,121,132,110,147,103,117,125,136,136,143,143,147,151
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,132,165,88,73.3,191,216,381,1010,1960,1430,2080,2850,2740,5310,5450,5370,5710,6310,7560,6750,6630,6570,6550,5510,5980,6300,4950,4010,4320,5760,4490,4530,4920,4980,4380,4610,4760,4780,4960,4790,4670,4780,4550,4620,4660,4860,4150,4090,4150,4230,4780,4920,5030,5260,5310,5250,5300,5320,5360
